English,Transcription,Русский
to congratulate,[kənˈɡrætʃəleɪt],поздравлять
to enjoy,[ɪnˈdʒɔɪ],наслаждаться
to get older,[ɡet ˈəʊldə(r)],становиться старше
to have fun,[hæv fʌn],развлекаться
to invite,[ɪnˈvaɪt],пригласить
to like,[laɪk],нравиться
to make a wish,[meɪk ə wɪʃ],загадать желание
to prepare,[prɪˈpeə(r],готовиться
to visit,[ˈvɪzɪt],навещать
bakery,[ˈbeɪkəri],"булочная, пекарня"
bank,[bæŋk],банк
bench,[bentʃ],скамья
bookshop,[ˈbʊkʃɒp],книжный магазин
bridge,[brɪdʒ],мост
building,[ˈbɪldɪŋ],здание
cafe,[ˈkæfeɪ],кафе
car park,[ˈkɑː pɑːk],парковка
cathedral,[kəˈθiːdrəl],собор
cheap,[tʃiːp],дешевый
church,[tʃɜːtʃ],церковь
coin,[kɔɪn],монета
corner,[ˈkɔːnə(r)],угол
crossroads,[ˈkrɒsrəʊdz],перекресток
customer,[ˈkʌstəmə(r)],покупатель
dead end,[ˌded ˈend],тупик
expensive,[ɪkˈspensɪv],дорогой
fountain,[ˈfaʊntən],фонтан
hospital,[ˈhɒspɪtl],больница
left,[left],налево
library,[ˈlaɪbrəri],библиотека
lift,[lɪft],лифт
mall,[mɔːl],торговый центр
market,[ˈmɑːkɪt],рынок
monument,[ˈmɒnjumənt],памятник
museum,[mjuˈziːəm],музей
nightclub,[ˈnaɪtklʌb],ночной клуб
park,[pɑːk],парк
price,[praɪs],цена
public transport,[ˌpʌblɪk ˈtrænspɔːt],общественный транспорт
receipt,[rɪˈsiːt],чек
restaurant,[ˈrestrɒnt],ресторан
right,[raɪt],направо
road,[rəʊd],дорога
sale,[seɪl],распродажа
school,[skuːl],школа
shop,[ʃɒp],магазин
square,[skweə(r)],площадь
stadium,[ˈsteɪdiəm],стадион
station,[ˈsteɪʃn],станция
stop,[stɒp],остановка
street,[striːt],улица
subway,[ˈsʌbweɪ],"подземный переход, метро"
supermarket,[ˈsuːpəmɑːkɪt],супермаркет
university,[ˌjuːnɪˈvɜːsəti],университет
view,[vjuː],вид
way,[weɪ],путь
zoo,[zuː],зоопарк
to cost,[kɒst],стоить
to cross,[krɒs],"пересекать, переходить"
to find,[faɪnd],находить
to go,[ɡəʊ],идти
to go sightseeing,[ˌɡəʊ ˈsaɪtsiːɪŋ],осматривать достопримечательности
to pay,[peɪ],платить
to sell,[sel],продавать
to stop,[stɒp],остановиться
and,[ænd],и
as,[æz],как
because,[bɪˈkəz],потому что
but,[bʌt],но
if,[ɪf],если
how,[haʊ],как
or,[ɔː(r)],или
than,[ðæn],чем
that,[ðæt],который
what,[wɒt],что
when,[wen],когда
where,[weə(r)],где
which,[wɪtʃ],который
who,[huː],кто
whom,[huːm],кому
whose,[huːz],чей
yet,[jet],однако
above,[əˈbʌv],над
at,[æt],"у, в, на"
behind,[bɪˈhaɪnd],за
below,[bɪˈləʊ],ниже
between,[bɪˈtwiːn],между
by,[baɪ],у
in,[ɪn],в
on,[ɒn],на
under,[ˈʌndə(r)],под
after,[ˈɑːftə(r)],после
at,[æt],в
before,[bɪˈfɔː(r)],до
by,[baɪ],к
during,[ˈdjʊərɪŋ],во время
in,[ɪn],"в, через"
on,[ɒn],в
since,[sɪns],"с тех пор, как"
until,[ənˈtɪl],пока
because of,[bɪˈkɒz əv],из-за
for,[fɔː(r)],"для, за, из-за"
from,[frɒm],от
of,[ɒv],"из-за, от, по"
thanks to,[θæŋks tuː],благодаря
through,[θruː],"благодаря, из-за"
across,[əˈkrɒs],через
along,[əˈlɒŋ],вдоль
from,[frɒm],от
into,[ˈɪntuː],в
out,[aʊt],из
to,[tuː],"к, в, на"
one,[wʌn],один
two,[tuː],два
three,[θriː],три
four,[fɔː(r)],четыре
five,[faɪv],пять
six,[sɪks],шесть
seven,[sevn],семь
eight,[eɪt],восемь
nine,[naɪn],девять
ten,[ten],десять
eleven,[ɪˈlevn],одиннадцать
twelve,[twelv],двенадцать
thirteen,[ˌθɜːˈtiːn],тринадцать
fourteen,[ˌfɔːˈtiːn],четырнадцать
fifteen,[ˌfɪfˈtiːn],пятнадцать
sixteen,[ˌsɪksˈtiːn],шестнадцать
seventeen,[ˌsevnˈtiːn],семнадцать
eighteen,[ˌeɪˈtiːn],восемнадцать
nineteen,[ˌnaɪnˈtiːn],девятнадцать
twenty,[ˈtwenti],двадцать
twenty-one,[ˌtwenti ˈwʌn],двадцать один
twenty-two,[ˌtwenti ˈtuː],двадцать два
twenty-three,[ˌtwenti ˈθriː],двадцать три
twenty-four,[ˌtwenti ˈfɔː(r)],двадцать четыре
twenty-five,[ˌtwenti ˈfaɪv],двадцать пять
twenty-six,[ˌtwenti ˈsɪks],двадцать шесть
twenty-seven,[ˌtwenti ˈsevn],двадцать семь
twenty-eight,[ˌtwenti ˈeɪt],двадцать восемь
twenty-nine,[ˌtwenti ˈnaɪn],двадцать девять
thirty,[ˈθɜːti],тридцать
forty,[ˈfɔːti],сорок
fifty,[ˈfɪfti],пятьдесят
sixty,[ˈsɪksti],шестьдесят
seventy,[ˈsevnti],семьдесят
eighty,[ˈeɪti],восемьдесят
ninety,[ˈnaɪnti],девяносто
hundred,[ˈhʌndrəd],сто
thousand,[ˈθaʊznd],тысяча
million,[ˈmɪljən],миллион
billion,[ˈbɪljən],миллиард
first,[fɜːst],первый
second,[ˈsekənd],второй
third,[θɜːd],третий
fourth,[fɔːθ],четвертый
fifth,[fɪfθ],пятый
sixth,[sɪksθ],шестой
seventh,[ˈsevnθ],седьмой
eighth,[eɪtθ],восьмой
ninth,[naɪnθ],девятый
tenth,[tenθ],десятый
eleventh,[ɪˈlevnθ],одиннадцатый
twelfth,[twelfθ],двенадцатый
thirteenth,[ˌθɜːˈtiːnθ],тринадцатый
fourteenth,[ˌfɔːˈtiːnθ],четырнадцатый
fifteenth,[ˌfɪfˈtiːnθ],пятнадцатый
sixteenth,[ˌsɪksˈtiːnθ],шестнадцатый
seventeenth,[ˌsevnˈtiːnθ],семнадцатый
eighteenth,[ˌeɪˈtiːnθ],восемнадцатый
nineteenth,[ˌnaɪnˈtiːnθ],девятнадцатый
twentieth,[ˈtwentɪəθ],двадцатый
twenty-first,[ˌtwenti ˈfɜːst],двадцать первый
twenty-second,[ˌtwenti ˈsekənd],двадцать второй
twenty-third,[ˌtwenti ˈθɜːd],двадцать третий
twenty-fourth,[ˌtwenti ˈfɔːθ],двадцать четвертый
twenty-fifth,[ˌtwenti ˈfɪfθ],двадцать пятый
twenty-sixth,[ˌtwenti ˈsɪksθ],двадцать шестой
twenty-seventh,[ˌtwenti ˈsevnθ],двадцать седьмой
twenty-eighth,[ˌtwenti ˈeɪtθ],двадцать восьмой
twenty-ninth,[ˌtwenti ˈnaɪnθ],двадцать девятый
thirtieth,[ˈθɜːtiəθ],тридцатый
fortieth,[ˈfɔːtiəθ],сороковой
fiftieth,[ˈfɪftiəθ],пятидесятый
sixtieth,[ˈsɪkstiəθ],шестидесятый
seventieth,[ˈsevntiəθ],семидесятый
eightieth,[ˈeɪtiəθ],восьмидесятый
ninetieth,[ˈnaɪntiəθ],девяностый
hundredth,[ˈhʌndrədθ],сотый
thousandth,[ˈθaʊznθ],тысячный
millionth,[ˈmɪljənθ],миллионный
billionth,[ˈbɪljənθ],миллиардный
